movie_id,title,overview,genres,cast,keywords,runtime,release_year,language,vote_average,vote_count,combined_features
1009722,Flash,"A police squad on a mission… A football match… Tension rises on both sides… The shooting starts and the team must face the pressure. When rivalry and betrayal slide onto the field, the team spirit and trust fly to bits.",['Drama'],"['Adel Bencherif', 'Guillaume Delorme', 'Dali Benssalah']",[],0,2020,fr,7.3,3,"A police squad on a mission… A football match… Tension rises on both sides… The shooting starts and the team must face the pressure. When rivalry and betrayal slide onto the field, the team spirit and trust fly to bits. ['Drama'] ['Adel Bencherif', 'Guillaume Delorme', 'Dali Benssalah'] []"
517096,Cosmoball,"Cosmoball is a mesmerizing intergalactic game of future played between humans and aliens at the giant extraterrestrial ship hovering in the sky over Earth. A young man with enormous power of an unknown nature joins the team of hot-headed superheroes in exchange for a cure for his mother’s deadly illness. The Four from Earth will fight not only to defend the honor of their home planet in the spectacular game, but to face the unprecedented threat to the Galaxy and embrace their own destiny.","['Science Fiction', 'Adventure']","['Evgeny Romantsov', 'Victoria Agalakova', 'Mariya Lisovaya']",[],115,2020,ru,6.335,246,"Cosmoball is a mesmerizing intergalactic game of future played between humans and aliens at the giant extraterrestrial ship hovering in the sky over Earth. A young man with enormous power of an unknown nature joins the team of hot-headed superheroes in exchange for a cure for his mother’s deadly illness. The Four from Earth will fight not only to defend the honor of their home planet in the spectacular game, but to face the unprecedented threat to the Galaxy and embrace their own destiny. ['Science Fiction', 'Adventure'] ['Evgeny Romantsov', 'Victoria Agalakova', 'Mariya Lisovaya'] []"
446893,Trolls World Tour,"Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom.","['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Music']","['Anna Kendrick', 'Justin Timberlake', 'Ron Funches']","['dancing', 'friendship', 'concert', 'country music', 'guitar', 'cloud', 'saxophone', 'sequel', 'jail', 'based on toy', 'rock music', 'alien abduction', 'singing', 'king', 'desert', 'pop music', 'flute', 'mirage', 'electronic music', 'k-pop', 'spaceship', 'jukebox musical']",91,2020,en,7.3,2220,"Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom. ['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Music'] ['Anna Kendrick', 'Justin Timberlake', 'Ron Funches'] ['dancing', 'friendship', 'concert', 'country music', 'guitar', 'cloud', 'saxophone', 'sequel', 'jail', 'based on toy', 'rock music', 'alien abduction', 'singing', 'king', 'desert', 'pop music', 'flute', 'mirage', 'electronic music', 'k-pop', 'spaceship', 'jukebox musical']"
514847,The Hunt,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.","['Action', 'Thriller', 'Horror']","['Betty Gilpin', 'Hilary Swank', 'Ethan Suplee']","['dark comedy', 'gore', 'satire', 'murder', 'death game']",90,2020,en,6.628,3480,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers. ['Action', 'Thriller', 'Horror'] ['Betty Gilpin', 'Hilary Swank', 'Ethan Suplee'] ['dark comedy', 'gore', 'satire', 'murder', 'death game']"
709772,War in Academia,"In the setting of a course at the Art University of Stockholm a lesson about work conditions of artists turns into a challenge of running the gauntlet for the two course instructors. As the students ask critic questions, the the whole situation escalates quickly.",['Drama'],"['Anna Granath', 'Ludde Hagberg', 'Karin Franz Körlof']",[],27,2020,sv,0.0,0,"In the setting of a course at the Art University of Stockholm a lesson about work conditions of artists turns into a challenge of running the gauntlet for the two course instructors. As the students ask critic questions, the the whole situation escalates quickly. ['Drama'] ['Anna Granath', 'Ludde Hagberg', 'Karin Franz Körlof'] []"
528215,Run,"A former boyracer, who married his first love and took a job in one of the fish factories, now has a 17 year-old-son of his own following in his footsteps and can no longer ignore the fact he’s going nowhere. Unable to be physically or emotionally present with his family, he takes his son’s car out for one final joy ride and risks losing the love that surrounds him",['Drama'],"['Mark Stanley', 'Amy Manson', 'Marli Siu']",[],78,2020,en,4.5,24,"A former boyracer, who married his first love and took a job in one of the fish factories, now has a 17 year-old-son of his own following in his footsteps and can no longer ignore the fact he’s going nowhere. Unable to be physically or emotionally present with his family, he takes his son’s car out for one final joy ride and risks losing the love that surrounds him ['Drama'] ['Mark Stanley', 'Amy Manson', 'Marli Siu'] []"
520318,Fatima,"In 1917, outside the parish of Fátima, Portugal, a 10-year-old girl and her two younger cousins witness multiple visitations of the Virgin Mary, who tells them that only prayer and suffering will bring an end to World War I.  As secularist government officials and Church leaders try to force the children to recant their story, word of the sighting spreads across the country, inspiring religious pilgrims to flock to the site in hopes of witnessing a miracle..",['Drama'],"['Harvey Keitel', 'Sônia Braga', 'Goran Višnjić']",['catholicism'],113,2020,en,7.208,192,"In 1917, outside the parish of Fátima, Portugal, a 10-year-old girl and her two younger cousins witness multiple visitations of the Virgin Mary, who tells them that only prayer and suffering will bring an end to World War I.  As secularist government officials and Church leaders try to force the children to recant their story, word of the sighting spreads across the country, inspiring religious pilgrims to flock to the site in hopes of witnessing a miracle.. ['Drama'] ['Harvey Keitel', 'Sônia Braga', 'Goran Višnjić'] ['catholicism']"
554371,Limbo,"An offbeat observation of refugees waiting to be granted asylum on a fictional remote Scottish island. It focuses on Omar, a young Syrian musician who is burdened by the weight of his grandfather’s oud, which he has carried all the way from his homeland.","['Drama', 'Comedy']","['Amir El-Masry', 'Vikash Bhai', 'Ola Orebiyi']","['island', 'musician', 'scotland', 'refugee', 'separation from family', 'asylum seekers', 'syrian refugee']",104,2020,en,7.0,112,"An offbeat observation of refugees waiting to be granted asylum on a fictional remote Scottish island. It focuses on Omar, a young Syrian musician who is burdened by the weight of his grandfather’s oud, which he has carried all the way from his homeland. ['Drama', 'Comedy'] ['Amir El-Masry', 'Vikash Bhai', 'Ola Orebiyi'] ['island', 'musician', 'scotland', 'refugee', 'separation from family', 'asylum seekers', 'syrian refugee']"
714375,Fatal Affair,"After a brief encounter with David Hammond, an old college friend, successful lawyer Ellie Warren tries to mend her marriage with her husband Marcus. But she finds herself caught in a terrifying game of cat and mouse when the encounter escalates into an obsession that jeopardizes everyone she loves.",['Thriller'],"['Nia Long', 'Omar Epps', 'Stephen Bishop']","['san francisco, california', 'obsession', 'architect', 'mistake', 'stalking', 'cat and mouse', 'psychiatrist', 'beach house', 'married woman', 'law firm', 'woman lawyer', 'divorced man', 'narcissistic personality disorder', 'college friends', 'successful', 'brief encounter', 'stale marriage', 'child in college', ""won't take no for an answer"", 'twisting the truth']",89,2020,en,5.645,303,"After a brief encounter with David Hammond, an old college friend, successful lawyer Ellie Warren tries to mend her marriage with her husband Marcus. But she finds herself caught in a terrifying game of cat and mouse when the encounter escalates into an obsession that jeopardizes everyone she loves. ['Thriller'] ['Nia Long', 'Omar Epps', 'Stephen Bishop'] ['san francisco, california', 'obsession', 'architect', 'mistake', 'stalking', 'cat and mouse', 'psychiatrist', 'beach house', 'married woman', 'law firm', 'woman lawyer', 'divorced man', 'narcissistic personality disorder', 'college friends', 'successful', 'brief encounter', 'stale marriage', 'child in college', ""won't take no for an answer"", 'twisting the truth']"
765056,My Sister's Idol Trainee Friends,"Jae Hoon was discharged from the army and came to his idol trainee younger sister's accommodation to stay for a few days. At the house, his sister's idol trainee friends, Hyeon Joo and Yeon Joo, are there. Her friends have a good feeling about good-looking Jae Hoon. In the middle of the war between the two women for possession of Jae Hoon, embarrassed Jae Hoon makes a shocking proposal to Hyun Joo and Yeon Joo...",['Drama'],"['Seung Ha', 'Sae Bom', 'Lee Mi-na']",['softcore'],71,2020,ko,4.7,3,"Jae Hoon was discharged from the army and came to his idol trainee younger sister's accommodation to stay for a few days. At the house, his sister's idol trainee friends, Hyeon Joo and Yeon Joo, are there. Her friends have a good feeling about good-looking Jae Hoon. In the middle of the war between the two women for possession of Jae Hoon, embarrassed Jae Hoon makes a shocking proposal to Hyun Joo and Yeon Joo... ['Drama'] ['Seung Ha', 'Sae Bom', 'Lee Mi-na'] ['softcore']"
726740,Trick Moon,Royal wolf siblings Trickshot and Pocket must protect the moon stone and their older brother the Prince of their land (who has been put into the moon stone during an attack) from the evil Dr. Bleak and his minion Mage in this tribute to old school anime and video games.,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']","['Jessica McKenna', 'Kath Soucie', 'Max Mittelman']",[],8,2020,en,9.0,3,"Royal wolf siblings Trickshot and Pocket must protect the moon stone and their older brother the Prince of their land (who has been put into the moon stone during an attack) from the evil Dr. Bleak and his minion Mage in this tribute to old school anime and video games. ['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science Fiction'] ['Jessica McKenna', 'Kath Soucie', 'Max Mittelman'] []"
572123,Team Marco,"Marco, 12, is obsessed with his iPad and hardly leaves the house. But when his grandmother dies and his grandfather moves in, Marco's life is turned upside-down and he's forced...to go play outside. ""Nonno"" (Grandpa) introduces him to bocce ball and to the neighborhood crew of old Italian men who play daily at the local court. With sport, laughter and love, Marco finds connection to other people and rounds up a team of neighborhood kids to take on Marco's grandfather and his pals.","['Comedy', 'Drama', 'Family']","['Owen Vaccaro', 'Louis Cancelmi', 'Greg Rikaart']",[],92,2020,en,6.5,13,"Marco, 12, is obsessed with his iPad and hardly leaves the house. But when his grandmother dies and his grandfather moves in, Marco's life is turned upside-down and he's forced...to go play outside. ""Nonno"" (Grandpa) introduces him to bocce ball and to the neighborhood crew of old Italian men who play daily at the local court. With sport, laughter and love, Marco finds connection to other people and rounds up a team of neighborhood kids to take on Marco's grandfather and his pals. ['Comedy', 'Drama', 'Family'] ['Owen Vaccaro', 'Louis Cancelmi', 'Greg Rikaart'] []"
718840,A Nice Girl Like You,"Lucy Neal is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong, Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery, friendship, and new love.","['Comedy', 'Romance']","['Lucy Hale', 'Leonidas Gulaptis', 'Mindy Cohn']",['based on memoir or autobiography'],94,2020,en,5.851,372,"Lucy Neal is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong, Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery, friendship, and new love. ['Comedy', 'Romance'] ['Lucy Hale', 'Leonidas Gulaptis', 'Mindy Cohn'] ['based on memoir or autobiography']"
679905,Blood,"Fernando, a naval officer, arrives in the city of Rosario to work on an oil tanker. But his move seems to conceal other motives.",['Drama'],"['Juan Barberini', 'Natalia Tena', 'Bella Camero']",[],90,2020,es,5.25,8,"Fernando, a naval officer, arrives in the city of Rosario to work on an oil tanker. But his move seems to conceal other motives. ['Drama'] ['Juan Barberini', 'Natalia Tena', 'Bella Camero'] []"
